Employee ID,Department,Total Experience (Years),Data Science Experience (Years),Python,SQL,Java,Excel,Accounting,SEO,Content Marketing,Social Media,Machine Learning,Statistics,TensorFlow,Deep Learning,Communication,Leadership
EID_1,IT,16,5,0,3,3,7,9,3,5,2,4,7,6,8,8,1
EID_2,Marketing,8,7,8,1,5,9,8,9,4,3,0,3,5,0,2,3
EID_3,IT,18,3,3,3,7,0,1,9,9,0,4,7,3,2,7,2
EID_4,IT,1,4,5,5,6,8,4,1,4,9,8,1,1,7,9,9
EID_5,Data Science,7,7,2,0,3,5,9,4,4,6,4,4,3,4,4,8
EID_6,Marketing,16,4,3,7,5,5,0,1,5,9,3,0,5,0,1,2
EID_7,IT,3,0,3,2,0,7,5,9,0,2,7,2,9,2,3,3
EID_8,Marketing,15,3,4,1,2,9,1,4,6,8,2,3,0,0,6,0
EID_9,Marketing,20,3,8,8,8,2,3,2,0,8,8,3,8,2,8,4
EID_10,Data Science,13,0,4,3,6,9,8,0,8,5,9,0,9,6,5,3
EID_11,Finance,9,0,4,9,6,5,7,8,8,9,2,8,6,6,9,1
EID_12,Data Science,13,8,8,3,2,3,6,3,6,5,7,0,8,4,6,5
EID_13,Finance,16,8,2,3,9,7,5,3,4,5,3,3,7,9,9,9
EID_14,Data Science,4,2,3,9,7,7,5,1,2,2,8,1,5,8,4,0
EID_15,Data Science,3,5,5,0,8,1,1,0,3,8,8,4,4,0,9,3
EID_16,Data Science,4,2,1,1,2,1,4,2,5,5,5,2,5,7,7,6
EID_17,Marketing,18,6,7,2,3,1,9,5,9,9,2,0,9,1,9,0
EID_18,Marketing,17,4,8,4,3,3,8,8,7,0,3,8,7,7,1,8
EID_19,IT,1,4,9,0,6,4,2,4,6,3,3,7,8,5,0,8
EID_20,Data Science,16,5,4,7,4,1,3,3,9,2,5,2,3,5,7,2
EID_21,Finance,2,6,5,0,0,3,1,9,9,6,6,7,8,8,7,0
EID_22,IT,16,9,8,3,6,1,7,4,9,2,0,8,2,7,8,4
EID_23,IT,13,1,7,6,9,4,1,5,9,7,1,3,5,7,3,6
EID_24,Marketing,8,9,1,9,6,0,3,8,4,1,4,5,0,3,1,4
EID_25,IT,5,0,0,8,4,6,9,3,3,2,1,2,1,3,4,1
EID_26,Finance,1,7,8,4,3,5,6,3,2,9,8,1,4,0,8,3
EID_27,Finance,6,1,7,8,6,4,7,3,5,3,6,4,7,3,0,5
EID_28,Data Science,12,9,3,7,5,5,8,0,8,3,6,9,3,2,7,0
EID_29,Data Science,15,0,3,6,1,9,2,9,4,9,1,3,2,4,9,7
EID_30,IT,10,4,1,2,7,2,3,9,7,6,6,2,3,6,0,8
EID_31,IT,11,7,6,5,9,6,5,2,7,1,9,2,2,5,6,4
EID_32,Data Science,19,2,1,0,9,0,2,8,3,0,8,8,1,0,5,8
EID_33,Marketing,16,3,5,3,8,6,4,6,3,6,2,6,5,5,9,4
EID_34,Marketing,14,5,1,3,3,8,9,5,5,6,0,9,7,5,1,5
EID_35,Marketing,13,6,8,7,5,3,2,9,9,3,2,5,4,1,5,8
EID_36,Data Science,6,8,4,1,7,8,1,2,1,1,7,5,0,4,1,1
EID_37,Finance,13,6,6,0,2,3,7,9,2,4,9,0,6,9,2,4
EID_38,Data Science,4,0,5,4,0,2,3,1,7,1,3,4,1,7,4,0
EID_39,Marketing,19,7,4,0,2,6,9,2,4,9,9,5,4,4,9,8
EID_40,Finance,6,7,0,1,3,9,2,8,2,4,8,2,9,8,7,8
EID_41,Marketing,4,3,6,0,3,6,3,9,6,3,2,2,2,6,4,6
EID_42,IT,5,9,2,1,6,1,7,5,6,1,6,6,6,6,2,5
EID_43,Marketing,19,2,3,2,9,3,8,5,4,5,1,5,8,2,9,9
EID_44,Finance,7,4,0,8,5,5,5,1,0,0,0,0,0,7,6,3
EID_45,Finance,5,3,4,5,1,3,6,7,4,0,0,7,3,3,0,0
EID_46,Finance,6,8,8,0,1,5,9,9,6,1,4,0,4,7,7,7
EID_47,Finance,3,6,0,2,7,7,2,6,1,3,7,0,5,4,5,5
EID_48,Data Science,12,8,0,1,5,4,1,5,0,6,8,8,6,3,4,4
EID_49,Marketing,11,3,6,5,9,8,1,3,8,1,5,8,0,3,7,1
EID_50,Data Science,9,0,7,5,9,9,6,8,7,5,9,1,0,0,5,6
EID_51,Data Science,16,6,1,7,7,0,7,6,0,4,2,7,5,2,8,5
EID_52,Marketing,7,4,1,5,4,5,5,6,3,8,1,4,2,9,7,4
EID_53,Finance,3,3,3,4,1,6,2,5,4,9,1,5,9,4,5,7
EID_54,IT,5,2,2,1,3,0,1,9,1,6,9,8,6,3,0,7
EID_55,Marketing,4,2,5,9,7,3,4,7,6,7,3,6,9,3,7,1
EID_56,Data Science,4,7,8,8,4,5,3,6,9,6,2,9,3,5,7,9
EID_57,Data Science,17,7,1,2,5,0,5,8,9,8,2,5,3,1,7,3
EID_58,Marketing,15,1,9,7,2,1,0,1,0,1,1,6,8,8,3,2
EID_59,IT,5,6,0,5,3,3,9,4,9,0,6,5,3,0,0,1
EID_60,Marketing,1,2,2,9,6,7,8,9,8,2,4,7,7,5,7,2
EID_61,IT,2,1,1,7,9,0,9,0,2,1,4,6,0,6,6,2
EID_62,IT,7,6,5,2,5,0,3,9,9,7,0,4,1,3,5,7
EID_63,Finance,7,2,7,3,4,9,7,0,0,1,8,3,5,0,1,1
EID_64,Data Science,8,9,3,7,0,2,4,4,6,0,1,7,6,5,5,7
EID_65,Data Science,20,6,8,8,2,1,0,8,7,7,0,4,8,0,4,5
EID_66,Data Science,8,2,4,9,7,5,0,4,9,4,0,2,5,5,3,0
EID_67,IT,18,9,9,2,1,0,1,6,3,4,3,6,4,2,3,6
EID_68,IT,4,3,8,1,3,3,1,5,3,6,4,8,5,7,1,8
EID_69,Marketing,17,0,4,2,1,2,2,3,4,7,5,1,3,1,0,1
EID_70,IT,11,0,2,1,3,1,4,7,5,6,9,2,5,2,2,1
EID_71,Data Science,20,0,7,3,8,2,4,3,1,6,5,8,4,3,6,5
EID_72,Data Science,8,8,8,3,7,8,5,7,2,7,8,0,7,4,8,4
EID_73,IT,11,0,4,8,0,0,4,7,3,7,7,2,2,1,7,0
EID_74,Data Science,6,9,7,1,1,2,4,1,4,5,8,2,1,6,3,0
EID_75,Data Science,6,1,3,7,1,1,7,9,4,2,0,3,2,4,0,0
EID_76,Marketing,12,3,8,3,0,4,4,0,2,5,5,8,2,7,3,6
EID_77,Data Science,2,0,2,2,5,5,1,2,8,7,3,7,3,1,0,1
EID_78,IT,6,3,3,1,0,6,1,6,9,5,7,0,1,4,9,5
EID_79,Finance,7,5,4,4,4,7,2,2,6,5,3,0,8,8,1,8
EID_80,Data Science,6,7,9,4,0,7,2,3,9,5,4,0,4,5,8,1
