Employee ID,Department,ML,DL,Python,Statistics,Data Wrangling,R,Java,C++,Algorithms,Data Structures,Git,Recruitment,Training,Communication,Conflict Resolution,Employee Engagement,HR Policies,SEO,Content Creation,Analytics,Social Media,Brand Management,Market Research,Accounting,Financial Analysis,Excel,Budgeting,Taxation,Investment Analysis
1,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,10,3,7,0,0,0,0,0,0
2,Human Resources,0,0,0,0,0,0,0,0,0,0,0,8,5,4,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0
3,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,2,5,1
4,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,9,1,10,3,0,0,0,0,0,0
5,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,3,5,3,0,0,0,0,0,0
6,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,4,9,2
7,Software Engineering,0,0,5,0,0,0,9,10,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,4,2,8,0,0,0,0,0,0
9,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,10,4,6,0,0,0,0,0,0
10,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,10,4,8
11,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,2,5,8,0,0,0,0,0,0
12,Software Engineering,0,0,1,0,0,0,9,9,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Data Science,8,8,3,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Human Resources,0,0,0,0,0,0,0,0,0,0,0,1,5,10,7,10,9,0,0,0,0,0,0,0,0,0,0,0,0
15,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,2,1,7,0,0,0,0,0,0
16,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,3,1,3
17,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,10,7,7
18,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,10,10,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,7,4,7,0,0,0,0,0,0
20,Human Resources,0,0,0,0,0,0,0,0,0,0,0,3,6,2,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0
21,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,9,7,1,0,0,0,0,0,0
22,Data Science,9,9,4,9,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,5,1,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0
24,Human Resources,0,0,0,0,0,0,0,0,0,0,0,6,8,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Software Engineering,0,0,2,0,0,0,4,7,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Data Science,8,1,1,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,5,10
28,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,1,6,8,5,0,0,0,0,0,0
29,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,1,9,6,0,0,0,0,0,0
30,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,3,10,3
31,Human Resources,0,0,0,0,0,0,0,0,0,0,0,4,7,4,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0
32,Software Engineering,0,0,9,0,0,0,8,1,9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Software Engineering,0,0,10,0,0,0,3,7,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Software Engineering,0,0,5,0,0,0,1,5,7,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Human Resources,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0
36,Data Science,8,4,1,8,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,2,2,0,0,0,0,0,0
38,Software Engineering,0,0,9,0,0,0,6,3,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Data Science,5,4,8,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Data Science,1,3,6,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,8,2,5,1
42,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,3,1,0,0,0,0,0,0
43,Data Science,5,6,3,9,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,1,4,5
45,Data Science,3,2,9,10,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Human Resources,0,0,0,0,0,0,0,0,0,0,0,8,8,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0
47,Human Resources,0,0,0,0,0,0,0,0,0,0,0,10,2,10,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0
48,Data Science,6,7,10,7,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Software Engineering,0,0,10,0,0,0,9,8,7,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,8,3,7,2
51,Software Engineering,0,0,3,0,0,0,7,6,9,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Software Engineering,0,0,1,0,0,0,10,6,4,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Human Resources,0,0,0,0,0,0,0,0,0,0,0,5,1,8,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0
54,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,7,8,4,0,0,0,0,0,0
55,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,3,1,8,3
56,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,10,5,10,5,0,0,0,0,0,0
57,Data Science,5,1,10,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Data Science,8,5,1,7,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,3,5,6
60,Data Science,5,1,4,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,5,7,10
62,Software Engineering,0,0,4,0,0,0,6,5,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,Software Engineering,0,0,1,0,0,0,3,10,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Software Engineering,0,0,8,0,0,0,1,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Data Science,3,5,3,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,Software Engineering,0,0,2,0,0,0,2,3,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Software Engineering,0,0,10,0,0,0,8,10,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Data Science,7,4,10,5,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,4,10,5,0,0,0,0,0,0
70,Data Science,8,3,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Data Science,7,8,7,5,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,9,1,1
73,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,3,1,4,9,0,0,0,0,0,0
74,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,7,4,3,10,5,0,0,0,0,0,0,0,0,0,0,0,0
75,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,5,4,5
76,Data Science,7,5,10,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,2,9,10,10
78,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,8,10,9,0,0,0,0,0,0
79,Software Engineering,0,0,5,0,0,0,10,2,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1,7,9
81,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,3,6,7
82,Human Resources,0,0,0,0,0,0,0,0,0,0,0,10,10,3,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
83,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,8,9,7,1,0,0,0,0,0,0
84,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,1,9,8,1,6,0,0,0,0,0,0,0,0,0,0,0,0
85,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,5,6,5,5
86,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,2,9,0,0,0,0,0,0
87,Data Science,1,5,6,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Data Science,10,8,6,8,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Software Engineering,0,0,8,0,0,0,4,10,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Data Science,4,6,1,9,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,3,5,9,0,0,0,0,0,0
92,Software Engineering,0,0,2,0,0,0,10,8,5,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Data Science,6,1,2,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Data Science,6,1,1,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Data Science,5,7,6,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Human Resources,0,0,0,0,0,0,0,0,0,0,0,5,7,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0
97,Software Engineering,0,0,5,0,0,0,3,1,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,8,2,8
99,Software Engineering,0,0,6,0,0,0,10,2,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,9,1,7,0,0,0,0,0,0
101,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,7,6,2
102,Software Engineering,0,0,3,0,0,0,2,2,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Data Science,8,7,10,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,1,10,1
105,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,5,2,6,5,0,0,0,0,0,0
106,Software Engineering,0,0,7,0,0,0,3,9,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,8,9,3,3,0,0,0,0,0,0
108,Human Resources,0,0,0,0,0,0,0,0,0,0,0,2,10,3,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0
109,Software Engineering,0,0,5,0,0,0,10,6,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,Data Science,10,2,1,10,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Data Science,9,6,8,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Data Science,8,1,3,4,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Software Engineering,0,0,2,0,0,0,7,8,10,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Human Resources,0,0,0,0,0,0,0,0,0,0,0,7,2,10,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
115,Data Science,7,5,10,7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Software Engineering,0,0,4,0,0,0,9,1,9,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,2,4,6,2,8,0,0,0,0,0,0,0,0,0,0,0,0
118,Data Science,3,10,9,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Software Engineering,0,0,6,0,0,0,2,8,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,7,4
121,Human Resources,0,0,0,0,0,0,0,0,0,0,0,8,7,9,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0
122,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,2,4,4
123,Data Science,8,6,3,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Software Engineering,0,0,6,0,0,0,3,5,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Human Resources,0,0,0,0,0,0,0,0,0,0,0,4,1,4,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
126,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,6,2,8
127,Software Engineering,0,0,10,0,0,0,5,7,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,9,1,9,8,0,0,0,0,0,0
129,Human Resources,0,0,0,0,0,0,0,0,0,0,0,1,5,2,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0
130,Software Engineering,0,0,1,0,0,0,3,3,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,5,3,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
132,Human Resources,0,0,0,0,0,0,0,0,0,0,0,10,4,9,10,9,2,0,0,0,0,0,0,0,0,0,0,0,0
133,Human Resources,0,0,0,0,0,0,0,0,0,0,0,6,1,7,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0
134,Data Science,7,2,5,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Human Resources,0,0,0,0,0,0,0,0,0,0,0,6,6,3,7,3,8,0,0,0,0,0,0,0,0,0,0,0,0
136,Software Engineering,0,0,4,0,0,0,4,1,7,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Data Science,1,5,7,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Software Engineering,0,0,10,0,0,0,10,5,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,8,8,5
140,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,4,4
141,Software Engineering,0,0,10,0,0,0,5,4,8,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Software Engineering,0,0,2,0,0,0,10,8,9,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,8,5,8,0,0,0,0,0,0
144,Software Engineering,0,0,9,0,0,0,1,10,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Data Science,6,7,1,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,9,1,6,7,0,0,0,0,0,0
147,Human Resources,0,0,0,0,0,0,0,0,0,0,0,8,5,9,5,9,10,0,0,0,0,0,0,0,0,0,0,0,0
148,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,10,9,3,4,0,0,0,0,0,0
149,Data Science,10,6,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Human Resources,0,0,0,0,0,0,0,0,0,0,0,1,3,6,8,9,7,0,0,0,0,0,0,0,0,0,0,0,0
